image_uri,template_uri,label,request_id,job_id,area_id,area_index,local_id,kind,worker_verdict,fill_ratio,delta_fill_ratio,baseline_fill_ratio
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_1__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_1__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-837f58dd2c05,1,1,problem,not-filled,0.14772727272727273,0.029829545454545456,0.11789772727272728
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_2__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_2__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-837f58dd2c05,1,2,problem,not-filled,0.25426136363636365,0.025568181818181823,0.22869318181818182
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_3__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_3__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-837f58dd2c05,1,3,problem,not-filled,0.2585227272727273,0.021306818181818205,0.2372159090909091
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_4__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_4__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-837f58dd2c05,1,4,problem,not-filled,0.2599431818181818,0.055397727272727265,0.20454545454545456
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_5__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-837f58dd2c05_5__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-837f58dd2c05,1,5,problem,not-filled,0.23579545454545456,0.01420454545454547,0.2215909090909091
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_1__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_1__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-8718a25e107d,2,1,problem,not-filled,0.15482954545454544,0.029829545454545442,0.125
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_2__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_2__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-8718a25e107d,2,2,problem,not-filled,0.2159090909090909,-0.01846590909090909,0.234375
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_3__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_3__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-8718a25e107d,2,3,problem,not-filled,0.265625,0.03125,0.234375
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_4__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_4__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-8718a25e107d,2,4,problem,not-filled,0.29261363636363635,0.04971590909090909,0.24289772727272727
s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_5__scan.png,s3://dev-hi4labs-label-studio/qmr-worker/debug/019e074a-90dc-74bb-96ae-10c1200ee727/019e1fbb-873b-7264-806c-db092b559a98/bubbles/problem/019c1178-23de-7745-abac-8718a25e107d_5__template.png,not-filled,019e074a-90dc-74bb-96ae-10c1200ee727,019e1fbb-873b-7264-806c-db092b559a98,019c1178-23de-7745-abac-8718a25e107d,2,5,problem,not-filled,0.25426136363636365,0.022727272727272735,0.2315340909090909
